provincia_id,provincia,municipio,sede,tipo,direccion,telefono,email
1, Buenos Aires,ADOLFO G. CHAVES (UE),,Unidad de empleo,"BARTOLOME MITRE Y JUAN ELICAGARAY, PB(7513)",0220-476-3390/2260,ueadolfogchaves@trabajo.gob.ar
1, Buenos Aires,ALMIRANTE BROWN (OE),,Oficina de empleo,"TOLL 1560, PB(1846)",0237-4840123,oealmirantebrown@trabajo.gob.ar
1, Buenos Aires,ARRECIFES (OE),,Oficina de empleo,"RICARDO GUTIERREZ 730, PB(2740)",4450-6002,oearrecifes@trabajo.gob.ar
1, Buenos Aires,AVELLANEDA (OE),,Oficina de empleo,"AV. HIPOLITO YRIGOYEN 381, PB(1870)",4661-8434 / 8418,oeavellaneda@trabajo.gob.ar
1, Buenos Aires,AYACUCHO (OE),,Oficina de empleo,"HIPOLITO IRIGOYEN 882, PB(7150)",4482-0279,oeayacucho@trabajo.gob.ar
1, Buenos Aires,AZUL (OE),,Oficina de empleo,"SAN MARTIN 612 , PB(7300)",02323-438615,oeazul@trabajo.gob.ar
1, Buenos Aires,BAHIA BLANCA (OE),,Oficina de empleo,"ALSINA 63, PB(8000)",0220 - 477 - 5709,oebahiablanca@trabajo.gob.ar
1, Buenos Aires,BALCARCE (OE),,Oficina de empleo,"CALLE 23 Nro636, PB(7620)",0237-4634927/5037,oebalcarce@trabajo.gob.ar
1, Buenos Aires,BARADERO (OE),,Oficina de empleo,"ARAOZ 995, 1ro (2942)",4489-7777 Interno: 7724,oebaradero@trabajo.gob.ar
1, Buenos Aires,BENITO JUAREZ (UE),,Unidad de empleo,"OTAMENDI 21, PB(7020)",0291-4594000 INT. 2258,pendiente
1, Buenos Aires,BERAZATEGUI (OE),,Oficina de empleo,"AVENIDA MILAZZO 3251, PB(1884)",0221-4645010,oeberazategui@trabajo.gob.ar
1, Buenos Aires,BERISSO (OE),,Oficina de empleo,"MONTEVIDEO Y NUEVA YORK EDIFICIO POLIGONO INDUSTRIAL, 2do (1923)",02314 - 427203/04 int. 252,oeberisso@trabajo.gob.ar
1, Buenos Aires,BOLIVAR (OE),,Oficina de empleo,"ARENALES 58 , PB(6550)",02342-423147,oebolivar@trabajo.gob.ar
1, Buenos Aires,BRAGADO (OE),,Oficina de empleo,"ALSINA 172, PB(6640)",02226-423-734,oebragado@trabajo.gob.ar
1, Buenos Aires,CAMPANA (OE),,Oficina de empleo,"25 DE MAYO 957, PB(2804)",02395-451101,oecampana@trabajo.gob.ar
1, Buenos Aires,CAÑUELAS (OE),,Oficina de empleo,"SAN MARTIN 435, PB(1814)","02245-480101 int, 217",oecanuelas@trabajo.gob.ar
1, Buenos Aires,CARLOS CASARES (OE),,Oficina de empleo,"MAIPU 276, PB(6530)",02352-430338,oecarloscasares@trabajo.gob.ar
1, Buenos Aires,CASTELLI (OE),,Oficina de empleo,"AV 25 DE MAYO 205, PB(7114)",02241- 436365,oecastelli@trabajo.gob.ar
1, Buenos Aires,CHACABUCO (OE),,Oficina de empleo,"PRIMERA JUNTA Y OLAVARRIA, PB(6740)",02346-421256,oechacabuco@trabajo.gob.ar
1, Buenos Aires,CHASCOMUS (OE),,Oficina de empleo,"LIBRES DEL SUR 272 E/BOLIVAR Y MAZZINI, PB(7130)",02922-462396,oechascomus@trabajo.gob.ar
1, Buenos Aires,CHIVILCOY (OE),,Oficina de empleo,"SALTA 110, PB(6620)",02316-453636,oechivilcoy@trabajo.gob.ar
1, Buenos Aires,CORONEL PRINGLES (OE),,Oficina de empleo,"AV. 25 DE MAYO 1650, PB(7530)",0220-4602438,oepringles@trabajo.gob.ar
1, Buenos Aires,CORONEL SUAREZ (OE),,Oficina de empleo,"ALSINA 132, PB(7540)",02243-454134,oecnelsuarez@trabajo.gob.ar
