provincia_id,provincia,municipio,sede,tipo,direccion,telefono,email,lat,lon
1, Buenos Aires,ALMIRANTE BROWN ,,Oficina de empleo,"TOLL 1560, PB(1846)",0237-4840123,oealmirantebrown@trabajo.gob.ar,,
1, Buenos Aires,ARRECIFES ,,Oficina de empleo,"RICARDO GUTIERREZ 730, PB(2740)",4450-6002,oearrecifes@trabajo.gob.ar,-34.0638771,-60.10348889999999
1, Buenos Aires,AVELLANEDA ,,Oficina de empleo,"AV. HIPOLITO YRIGOYEN 381, PB(1870)",4661-8434 / 8418,oeavellaneda@trabajo.gob.ar,,
1, Buenos Aires,AYACUCHO ,,Oficina de empleo,"HIPOLITO IRIGOYEN 882, PB(7150)",4482-0279,oeayacucho@trabajo.gob.ar,-37.1502686,-58.4829712
1, Buenos Aires,AZUL ,,Oficina de empleo,"SAN MARTIN 612 , PB(7300)",02323-438615,oeazul@trabajo.gob.ar,,
1, Buenos Aires,BAHIA BLANCA ,,Oficina de empleo,"ALSINA 63, PB(8000)",0220 - 477 - 5709,oebahiablanca@trabajo.gob.ar,,
1, Buenos Aires,BALCARCE ,,Oficina de empleo,"CALLE 23 Nro636, PB(7620)",0237-4634927/5037,oebalcarce@trabajo.gob.ar,,
1, Buenos Aires,BARADERO ,,Oficina de empleo,"ARAOZ 995, 1ro (2942)",4489-7777 Interno: 7724,oebaradero@trabajo.gob.ar,-33.808876,-59.5046844
1, Buenos Aires,BENITO JUAREZ ,,Unidad de empleo,"OTAMENDI 21, PB(7020)",0291-4594000 INT. 2258,pendiente,,
1, Buenos Aires,BERAZATEGUI ,,Oficina de empleo,"AVENIDA MILAZZO 3251, PB(1884)",0221-4645010,oeberazategui@trabajo.gob.ar,,
1, Buenos Aires,BERISSO ,,Oficina de empleo,"MONTEVIDEO Y NUEVA YORK EDIFICIO POLIGONO INDUSTRIAL, 2do (1923)",02314 - 427203/04 int. 252,oeberisso@trabajo.gob.ar,-34.8730675,-57.88371729999999
